Label,TEXT,
1,"I was once a kind romantic who strove to help anyone who asked. I never felt sorry for myself, I believed in humanity. However, all this was fake, surrogate friendship and some kind of incomprehensible relationship. The girl who swore that she loved, eventually cheated and went to another. Another did not appear - I am hopeless, but simply, without sufficient income and my own housing. Parents with schizophrenia (F20.2) I have never been supported or supported by anyone. So, giving a piece of myself to everyone, I have already lost my spiritual warmth, I became indifferent, apathy. The ex-girlfriend effortlessly found a new one, who immediately married her and takes her to different countries of the world. Of course, I took on any job to show that it was not worse, but I was often deceived - underpaid or not paid at all. I am a simple loser who has lost the meaning of life. Even my appearance does not save my situation - it is terrible (just a freak), therefore I often envy those who are lucky with their appearance, how they are loved and how everything is easy for them. I do my favorite thing, but I often think that no one needs it, just like me, all this is in vain, meaningless. It affects the emptiness inside me. It is often surprising how lucky many people are, how they have it all, and why nothing works out for me, why everything turns out somehow wrong - either they will lose my documents, or they will not pay me exactly, then it is my place that will be closed, it is me used and abandoned, I have such parents. Sometimes I want everyone around me to be in my place, to feel all this for themselves and understand what it is like, but even deeper I just want to stop it all, just interrupt my existence.",
1,"! I wake up every day thinking why am I living? My life is empty and meaningless! I have neither a husband, nor children, nor even a relationship, some kind of hopeless, total loneliness that does not end in any way, all my attempts to get to know someone do not end in anything, I try to do something, but nothing comes of it, I flounder , floundering, but things are not moving forward, I understand and realize that this is how it will be, and the older I get, the worse! And do not say how to occupy yourself, distract yourself, tried, does not help. Because of all these experiences, my health has fallen, I sleep badly, I practically do not eat anything, maybe it’s better, I will slowly die, further existence is meaningless! I'm just taking someone else's place.",
1,"I have problems with my girlfriend. I cannot bear every quarrel. It's very difficult for me. I want to die, but I understand that I cannot do this, as I will hurt my family and friends. I am always to blame. I am dull a lot, I forget a lot. I try to get it right, but again and again I fall on the same rake. There was another situation in which I was already planning when to commit suicide. Before the new year, but again I could not. And in this situation, not only I alone was to blame, but also my other half.",
1,"My whole life is one continuous hell, in which I burn constantly. I'm tired, I don't understand what I did wrong and to whom. Why is all this happening. My father died when I was 7. I spent all my childhood without a father, whom I really missed.",
1,"I want to sleep and not wake up. Every day the same thing. For some time I considered myself cool, I had friends, I studied for grades, I had an ordinary life, like everyone else. But on March 15, 2017, I didn’t feel important, I wanted to take time off from the lesson, but they didn’t allow me, after school I got into an accident and received an open fracture of my right leg (lower leg), my wound was sewn up and my bones were evenly trimmed. On April 11, I underwent an operation (they put the plate on). On April 30, I was sent to be treated at home. Everything was not bad. In the fall I walked on my feet, but my leg began to fester, and in the winter they removed the plate and I wore a plaster. In the spring I wore a plaster cast, but for some reason the bone was twisted, the doctor said it needed to be trimmed. At this time, I did not go to school, my parents at school were told that they could leave me for the second year, I did not want to stay and started walking in April. But the bone was still crooked. In the summer, when I printed a diagnosis of chronic ostemelitis, I had depression. By September I had to go to school, I walked with a cast and with a cane everyone looked at me like a monkey in a zoo. And I noticed that my friends began to shy away from me, but it didn't bother me, I began to study better and devote more time to studying. Now the bone is still crooked, I straighten it out, but in one place of my leg the plaster was rubbed with mazol and there it began to fester. I have depression again, I no longer want to live, there is no one desire to continue life, my parents and relatives said that everything will pass over time, maybe even in the future I will not remember this and I can start all over again, how to start over if I have a huge scar on the whole leg. Now I think that the best I did not suffer and died that day. If I died, I would not suffer now. But my parents said that everything was my own fault. I try not to show my suffering to my parents, I didn't ask too much from my parents and I didn't tell my thoughts (about death) because they will worry and even think that I am thinking about suedcide. I pray to god, maybe I have sinned? My aunt said if it festers for so long, I can stay without a leg, I don't even want to think about it",
1,". I am a mother of a disabled child of 6 years. Zprr, autistic traits, hyperactivity, can just scream for hours, can break and destroy, etc. Until now, he walks in his pants 10 times a day, he began to smear it on the floor. I just became his slave, all desires must be fulfilled, we can bake a cake at 1 in the morning, walk all day when I have a high temperature and fall off my feet, otherwise there will be a nightmare. Constant tantrums, does not go to the garden, shouts. Alone with him all day. The husband is there, but he works, rests after work. She quit her job 2 years ago, my son was often ill, and I have to go to classes and doctors. I have no strength, I'm tired. I wake up in the morning already tired, I fall asleep in the hope of not waking up. I'm tired of everything. Sometimes I even hate him. Sometimes I pull myself together, but his tantrums just break me. I also have an adult daughter, a grandson, but I do not have enough for them. An appeal to God, a paid psychologist, a hairdresser, rare walks while he is in class, aroma baths with oils, a new dress, a trip to a cafe, embroidery, hobbies, sex and everything that is advised usually does not help, I do not want anything. There is no opportunity to receive treatment from specialists. The son goes only where he sees fit, in another case, hysteria. And there is no one to leave him. The husband became a completely stranger, began to drink. Thank you for not leaving the family at all and working. I don't see the light at the end of the tunnel. Health also began to fail. I live in constant fear. I'm afraid my son will start hysterical, I'm afraid my husband will start screaming because of his son's hysteria. I'm afraid of others with their negativity. But besides the child, I have to serve my husband, he is not even able to pour tea for himself, cook deliciously, clean up, he does not tolerate a mess. I must help my daughter and mother-in-law, sometimes other relatives, must help neighbors so that they do not suffer from the screams of my child. Recently, the son poked his finger at the girl slightly. My mother screamed that I should never leave him at all, And why should I look good so as not to injure completely strangers, although to be honest, there is neither desire nor strength to go to the shower. I am generally silent about the fact that I should be a good mother and grandmother. This is when she managed to owe so much to the whole world in her 40 years. I'm tired of it. In my head there are only thoughts of suicide. The only thing that restrains me is that I have not figured out how to do it for sure.",
1,"I started communicating with a foreigner a month ago. Everything was going great (he's Chinese) but then he started blackmailing. He photographed my face to body voice and was going to send it out. In return, I wanted not money, but communication on the camera. I thought it was okay, but then he made screenshots from there and began to blackmail more, threatening if I did not show him the upper body with the face, he would send it. Now he is blackmailing that he will send if I do not show the whole body. I am hysterical, my classmates came up today and said ""we have your naked photos"" and I left school. I can't go back there, I can't tell my parents. I feel bad. I want to die. He is not talking to him, but it seems to me that he is lying ... what should I do .. ignore does not help. Nothing helps.",
1,"I'll start from the beginning, I have a mother, she has a very bad relationship, because her stepfather left, she blames me for everything, so the relationship with her is generally bad, there is a bra, a sister, sometimes they only need me when they need something or to just sit with the children. There are no friends, there are only acquaintances and they are not interested in my state, that I am, that I am not, there are days when I am glad that I exist, but this is once a year, and that is not always. I have a person whom I love, everyone tells me that he uses me, but I don’t believe, his friends tell me that he doesn’t need me, but I don’t believe, they say he slept with all my acquaintances (almost) and after that he started to doubt him, but all the same, I even defend him in front of myself, it turns out it's true, sometimes I love him, but I don't want to live like that, it won't be better for me than I will suffer so much. My studies are bad, I'm in the 9th grade, here I could not pass mathematics in 4 retakes, as a result, the second year, all plans were canceled (even such simple ones) in general, how can you commit suicide? I don’t want to live, there’s no point in being here, it’s better that I wasn’t there and that I couldn’t feel anything.",
1,"The first and last time I went to a beautician. I will not describe everything, but in the end I now have a nerve damage: my face burns and cuts terribly, swelling and sagging of tissues around the mouth.",
1,This year has been very difficult ....,
